cve_ent,cve_mun,nomgeo,name,main_category,sub_category,sub_sub_category,business_category,naics_code,sic_code,parent_chain_path,chain_uuid_path,phone,address,address2,neighborhood,city,state,postal_code,country_code,country,latitude,longitude,data_quality_confidence_score,open_closed_status,open_closed_status_confidence_score,opened_on,closed_on,popularity_score,historical_popularity_scores,sentiment_score,historical_sentiment_scores,number_of_reviews,average_stars,website,monday_open,monday_close,tuesday_open,tuesday_close,wednesday_open,wednesday_close,thursday_open,thursday_close,friday_open,friday_close,saturday_open,saturday_close,sunday_open,sunday_close,place_attributes,validity_score,load_date,geometry_coords,chain_name_clean,chain_classification,classification_reason
15,33,Ecatepec de Morelos,Farmaciass Angy,healthcare,pharmacy_supplies,,pharmacy,456110.0,,,,,Av Central MZ 009,,"Manzana 009, Luis Donaldo Colosio",Ecatepec de Morelos,Estado de México,,mx,Mexico,19.6323,-99.0638,0.7247058823529412,open,0.3,2025-03-31,,0.001,"{""2025-04"":0.0,""2025-05"":0.0,""2025-06"":0.0,""2025-07"":0.0}",,,,,,,,,,,,,,,,,,,,"{""service_delivery"":true}",0.3,2025-11-18,POINT (-99.06378289 19.63226899),,independent,"No chain tag, no chain-like name pattern"
15,33,Ecatepec de Morelos,FARMACIA RODRIGUEZ,healthcare,pharmacy_supplies,,pharmacy,456110.0,,,,,Av. de las Torres 3550,,"Manzana 002, Ciudad Cuauhtemoc",Acolman,Estado de México,55064,mx,Mexico,19.6323,-98.9801,0.7691941176470588,open,0.3,2024-05-08,,0.001,"{""2024-11"":0.0,""2024-12"":0.0,""2025-01"":0.0,""2025-02"":0.0,""2025-03"":0.0,""2025-04"":0.0,""2025-05"":0.0,""2025-06"":0.0,""2025-07"":0.0}",,,,,,,,,,,,,,,,,,,,"{""feature_quick_visit"":true}",0.3,2025-11-18,POINT (-98.98010558 19.63226237),,independent,"No chain tag, no chain-like name pattern"
15,33,Ecatepec de Morelos,Farmacia Consultorio,healthcare,pharmacy_supplies,,pharmacy,456110.0,,,,,C. Xochicalco 334,,"Manzana 006, Ciudad Cuauhtemoc",Ecatepec de Morelos,Estado de México,50066,mx,Mexico,19.6403,-98.9969,0.7656117647058823,open,0.298,,,0.001,"{""2024-10"":0.0,""2024-11"":0.0,""2024-12"":0.0,""2025-01"":0.0,""2025-02"":0.0,""2025-03"":0.0,""2025-04"":0.0,""2025-05"":0.0,""2025-06"":0.0,""2025-07"":0.0}",,,,,,,,,,,,,,,,,,,,"{""feature_quick_visit"":true,""service_delivery"":true,""service_same_day_delivery"":true}",0.3,2025-11-18,POINT (-98.99694865 19.64033945),,independent,"No chain tag, no chain-like name pattern"
15,33,Ecatepec de Morelos,Farmacia Rodriguez,healthcare,pharmacy_supplies,,pharmacy,456110.0,,,,,Cuahutemoc 22,,Ciudad Cuauhtemoc,Ecatepec de Morelos,Estado de México,55067,mx,Mexico,19.6399,-98.9906,0.7709843621862555,open,0.302,2022-02-28,,0.003,"{""2022-09"":0.0,""2022-10"":0.0,""2022-11"":0.0,""2022-12"":0.0,""2023-01"":0.0,""2023-02"":0.0,""2023-03"":0.0,""2023-04"":0.0,""2023-05"":0.0,""2023-06"":0.0,""2023-07"":0.0,""2023-08"":0.0,""2023-09"":0.0,""2023-10"":0.0,""2023-11"":0.0,""2023-12"":0.0,""2024-01"":0.0,""2024-02"":0.0,""2024-03"":0.0,""2024-04"":0.0,""2024-05"":0.0,""2024-06"":0.0,""2024-07"":0.0,""2024-08"":0.0,""2024-09"":0.0,""2024-10"":0.0,""2024-11"":0.0,""2024-12"":0.0,""2025-01"":0.0,""2025-02"":0.0,""2025-03"":0.0,""2025-04"":0.0,""2025-05"":0.0,""2025-06"":0.0,""2025-07"":0.0}",1.0,"{""2022-06"":1.0,""2022-07"":1.0,""2022-08"":1.0,""2022-09"":1.0,""2022-10"":1.0,""2022-11"":1.0,""2022-12"":1.0,""2023-01"":1.0,""2023-02"":1.0,""2023-03"":1.0,""2023-04"":1.0,""2023-05"":1.0,""2023-06"":1.0,""2023-07"":1.0,""2023-08"":1.0,""2023-09"":1.0,""2023-10"":1.0,""2023-11"":1.0,""2023-12"":1.0,""2024-01"":1.0,""2024-02"":1.0,""2024-03"":1.0,""2024-04"":1.0,""2024-05"":1.0,""2024-06"":1.0,""2024-07"":1.0,""2024-08"":1.0,""2024-09"":1.0,""2024-10"":1.0,""2024-11"":1.0,""2024-12"":1.0,""2025-01"":1.0,""2025-02"":1.0,""2025-03"":1.0,""2025-04"":1.0,""2025-05"":1.0,""2025-06"":1.0,""2025-07"":1.0}",1.0,5.0,,,,,,,,,,,,,,,,"{""feature_quick_visit"":true}",0.471,2025-11-18,POINT (-98.99064596 19.63992404),,independent,"No chain tag, no chain-like name pattern"
15,33,Ecatepec de Morelos,Farmacia Genéricos Similares,healthcare,pharmacy_supplies,,pharmacy,456110.0,,,,15557916271.0,MZ 040,,Privadas de Ecatepec,Ecatepec de Morelos,Estado de México,50066,mx,Mexico,19.6355,-98.9949,0.7657999999999999,open,0.299,,,0.001,"{""2024-10"":0.0,""2024-11"":0.0,""2024-12"":0.0,""2025-01"":0.0,""2025-02"":0.0,""2025-03"":0.0,""2025-04"":0.0,""2025-05"":0.0,""2025-06"":0.0,""2025-07"":0.0}",,,,,https://www.farmaciasdesimilares.com/,,,,,,,,,,,,,,,"{""feature_quick_visit"":true,""service_same_day_delivery"":true}",0.3,2025-11-18,POINT (-98.99493862 19.63553091),,independent,"No chain tag, no chain-like name pattern"
15,33,Ecatepec de Morelos,Farmacia Mamá Cua Cua,healthcare,pharmacy_supplies,,pharmacy,456110.0,,,,,Akenatón MZ 015,,"Manzana 015, Ciudad Cuauhtemoc",Acolman,Estado de México,55067,mx,Mexico,19.6355,-98.9807,0.7657999999999999,open,0.299,,,0.001,"{""2024-09"":0.0,""2024-10"":0.0,""2024-11"":0.0,""2024-12"":0.0,""2025-01"":0.0,""2025-02"":0.0,""2025-03"":0.0,""2025-04"":0.0,""2025-05"":0.0,""2025-06"":0.0}",,,,,,,,,,,,,,,,,,,,"{""feature_quick_visit"":true,""service_delivery"":true,""service_same_day_delivery"":true}",0.3,2025-11-18,POINT (-98.9806804 19.63547134),,independent,"No chain tag, no chain-like name pattern"
15,33,Ecatepec de Morelos,Farmacia San Judas Tadeo,healthcare,pharmacy_supplies,,pharmacy,456110.0,,,,,MZ 003,,"Manzana 003, Ciudad Cuauhtemoc",Ecatepec de Morelos,Estado de México,55077,mx,Mexico,19.6403,-98.9891,0.7860888506737227,open,0.3,2022-02-28,,0.016,"{""2024-09"":0.0,""2024-10"":0.0,""2024-11"":0.0,""2024-12"":0.0,""2025-01"":0.0,""2025-02"":0.0012,""2025-03"":0.0111,""2025-04"":0.042,""2025-05"":0.0871,""2025-06"":0.0558,""2025-07"":0.0194}",1.0,"{""2024-05"":1.0,""2024-06"":1.0,""2024-07"":1.0,""2024-08"":1.0,""2024-09"":1.0,""2024-10"":1.0,""2024-11"":1.0,""2024-12"":1.0,""2025-01"":1.0,""2025-02"":1.0,""2025-03"":1.0,""2025-04"":1.0,""2025-05"":1.0,""2025-06"":1.0,""2025-07"":1.0}",4.0,5.0,,,,,,,,,,,,,,,,"{""feature_quick_visit"":true,""service_delivery"":true}",0.571,2025-11-18,POINT (-98.98913473 19.64027095),,independent,"No chain tag, no chain-like name pattern"
15,33,Ecatepec de Morelos,Farmacia la Mas Barata,healthcare,pharmacy_supplies,,pharmacy,456110.0,,,,525558803265.0,Ctlamina 57,,"Manzana 010, Ciudad Cuauhtemoc",Ecatepec de Morelos,Estado de México,55067,mx,Mexico,19.6368,-98.9837,0.7744314210097849,open,0.302,2021-12-11,,0.01,"{""2022-05"":0.0,""2022-06"":0.0,""2022-07"":0.0,""2022-08"":0.0,""2022-09"":0.0,""2022-10"":0.0,""2022-11"":0.0,""2022-12"":0.0,""2023-01"":0.0,""2023-02"":0.0,""2023-03"":0.0,""2023-04"":0.0,""2023-05"":0.0,""2023-06"":0.0,""2023-07"":0.0,""2023-08"":0.0,""2023-09"":0.0,""2023-10"":0.0,""2023-11"":0.0,""2023-12"":0.0,""2024-01"":0.0,""2024-02"":0.0,""2024-03"":0.0,""2024-04"":0.0,""2024-05"":0.0,""2024-06"":0.0,""2024-07"":0.0,""2024-08"":0.0,""2024-09"":0.0,""2024-10"":0.0,""2024-11"":0.0,""2024-12"":0.0,""2025-01"":0.0,""2025-02"":0.0,""2025-03"":0.0,""2025-04"":0.0,""2025-05"":0.0,""2025-06"":0.0,""2025-07"":0.0}",0.64,"{""2022-04"":0.64,""2022-05"":0.64,""2022-06"":0.64,""2022-07"":0.64,""2022-08"":0.64,""2022-09"":0.64,""2022-10"":0.64,""2022-11"":0.64,""2022-12"":0.64,""2023-01"":0.64,""2023-02"":0.64,""2023-03"":0.64,""2023-04"":0.64,""2023-05"":0.64,""2023-06"":0.64,""2023-07"":0.64,""2023-08"":0.64,""2023-09"":0.64,""2023-10"":0.64,""2023-11"":0.64,""2023-12"":0.64,""2024-01"":0.64,""2024-02"":0.64,""2024-03"":0.64,""2024-04"":0.64,""2024-05"":0.64,""2024-06"":0.64,""2024-07"":0.64,""2024-08"":0.64,""2024-09"":0.64,""2024-10"":0.64,""2024-11"":0.64,""2024-12"":0.64,""2025-01"":0.64,""2025-02"":0.64,""2025-03"":0.64,""2025-04"":0.64,""2025-05"":0.64,""2025-06"":0.64,""2025-07"":0.64}",1.0,4.0,,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,20:30,08:00,20:30,"{""feature_quick_visit"":true}",0.86,2025-11-18,POINT (-98.98371015 19.63682422),,independent,"No chain tag, no chain-like name pattern"
15,33,Ecatepec de Morelos,Farmacia S y G,healthcare,pharmacy_supplies,,pharmacy,456110.0,,,,525618167885.0,"55066 Cenzontle Mz E, Lt. 6 Local 2",,"Manzana 008, Casas Reales",Ecatepec de Morelos,Estado de México,55066,mx,Mexico,19.6249,-98.9949,0.7788760341723286,open,0.299,2023-06-30,,0.006,"{""2023-09"":0.0,""2023-10"":0.0006,""2023-11"":0.005,""2023-12"":0.0194,""2024-01"":0.0261,""2024-02"":0.0194,""2024-03"":0.005,""2024-04"":0.0006,""2024-05"":0.0,""2024-06"":0.0,""2024-07"":0.0,""2024-08"":0.0,""2024-09"":0.0,""2024-10"":0.0,""2024-11"":0.0,""2024-12"":0.0,""2025-01"":0.0,""2025-02"":0.0,""2025-03"":0.0,""2025-04"":0.0,""2025-05"":0.0,""2025-06"":0.0,""2025-07"":0.0}",1.0,"{""2023-08"":1.0,""2023-09"":1.0,""2023-10"":1.0,""2023-11"":1.0,""2023-12"":1.0,""2024-01"":1.0,""2024-02"":1.0,""2024-03"":1.0,""2024-04"":1.0,""2024-05"":1.0,""2024-06"":1.0,""2024-07"":1.0,""2024-08"":1.0,""2024-09"":1.0,""2024-10"":1.0,""2024-11"":1.0,""2024-12"":1.0,""2025-01"":1.0,""2025-02"":1.0,""2025-03"":1.0,""2025-04"":1.0,""2025-05"":1.0,""2025-06"":1.0,""2025-07"":1.0}",2.0,5.0,,09:00,21:30,09:00,21:30,09:00,21:30,09:00,21:30,09:00,21:30,09:00,21:30,09:00,21:30,"{""feature_quick_visit"":true,""service_delivery"":true,""service_same_day_delivery"":true}",0.862,2025-11-18,POINT (-98.99485548 19.62494326),,independent,"No chain tag, no chain-like name pattern"
15,33,Ecatepec de Morelos,Farmacias Similares,healthcare,pharmacy_supplies,,pharmacy,456110.0,,,,528009116666.0,MZ 009,,"Manzana 009, Santa Cruz Venta de Carpio",Ecatepec de Morelos,Estado de México,55066,mx,Mexico,19.6199,-98.9946,0.794486124452071,open,0.305,2024-06-15,,0.081,"{""2024-09"":0.0,""2024-10"":0.0,""2024-11"":0.0194,""2024-12"":0.1401,""2025-01"":0.1771,""2025-02"":0.1401,""2025-03"":0.0194,""2025-04"":0.005,""2025-05"":0.0,""2025-06"":0.0,""2025-07"":0.0}",0.9216,"{""2024-08"":1.0,""2024-09"":1.0,""2024-10"":1.0,""2024-11"":0.8836,""2024-12"":0.8836,""2025-01"":0.9216,""2025-02"":0.9216,""2025-03"":0.9216,""2025-04"":0.9216,""2025-05"":0.9216,""2025-06"":0.9216,""2025-07"":0.9216}",5.0,4.8,https://www.farmaciasdesimilares.com/,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,09:00,21:00,"{""feature_quick_visit"":true,""service_same_day_delivery"":true}",0.959,2025-11-18,POINT (-98.9945832 19.61985325),,independent,"No chain tag, no chain-like name pattern"
